id,name,description,groupsCount,membersCount,areaCount,iconColor
kampar,Kampar,Menerapkan praktik berkelanjutan dengan teknik pemupukan inovatif,8,1.750,4.750,bg-primary
rokan-hulu,Rokan Hulu,Konservasi berbasis masyarakat dan pengelolaan lahan yang bertanggung jawab,10,1.920,4.870,bg-cyan-500
siak,Siak,Menerapkan Praktik Pengelolaan Terbaik bagi Petani Sawit Rakyat di Lahan Gambut,10,1.645,3.950,bg-blue-500
pelalawan,Pelalawan,Melindungi keanekaragaman hayati sambil meningkatkan penghidupan petani,1,417,450,bg-indigo-500
