id,title,subtitle,action1,action2
hero,Memberdayakan Petani <br/>Sawit Swadaya,Program Sawit Swadaya WRI Indonesia mendukung produksi kelapa sawit berkelanjutan di Provinsi Riau,Jelajahi Komunitas,Pelajari Lebih Lanjut
community,Komunitas Kami,Kenali kelompok tani yang mendorong pola tanam berkelanjutan di 4 kabupaten di Riau,,
activities,Kegiatan & Kisah Sukses,Mendokumentasikan perjalanan kami menuju produksi kelapa sawit berkelanjutan,Lihat Galeri,
partners,Mitra & Pendukung Kami,Bersama organisasi terkemuka yang berkomitmen pada pembangunan berkelanjutan,,
